N,P,K,temperature,humidity,ph,durationmonths,rainfall,period,label
24.0,128.0,196.0,22.75088787,90.69489172,5.521466996000000,72,110.431785500000000,fall or spring,apple
7.0,144.0,197.0,23.849401400000000,94.34814995,6.133220586000000,72,114.051249500000000,fall or spring,apple
14.0,128.0,205.0,22.60800988,94.58900601,6.226289556000000,72,116.039658700000000,fall or spring,apple
8.0,120.0,201.0,21.18667419,91.13435689,6.321152192000000,72,122.233323000,fall or spring,apple
20.0,129.0,201.0,23.41044706,91.69913296,5.587905967000000,72,116.077793,fall or spring,apple
32.0,137.0,204.0,22.86006627,93.12859895,5.82415169300000,72,117.729672600000000,fall or spring,apple
27.0,139.0,205.0,22.48403042,93.40819246,5.7721799,72,105.547362700000000,fall or spring,apple
0.0,123.0,205.0,22.02775403,92.96129462,5.790993052000000,72,121.134917600000000,fall or spring,apple
22.0,144.0,196.0,21.91191314,91.68748063,6.4992268,72,117.076127700000000,fall or spring,apple
1.0,124.0,199.0,23.71059131,93.27392415,5.65847381700000,72,112.667659,fall or spring,apple
30.0,122.0,197.0,21.37784654,92.72043743,5.573241391000000,72,106.141701700000000,fall or spring,apple
29.0,121.0,196.0,22.84852833,94.32130209,6.07949720200000,72,123.597784300000000,fall or spring,apple
13.0,126.0,204.0,23.109426500000000,92.79630809,6.3831803,72,108.183792000,fall or spring,apple
9.0,139.0,199.0,23.25230817,94.54128292,5.867420996000000,72,105.355840800000000,fall or spring,apple
0.0,133.0,200.0,23.67287749,90.493557400000000,5.708418722000000,72,104.229802800000000,fall or spring,apple
30.0,143.0,199.0,23.76881552,90.59810302,5.7983508,72,102.264854600000000,fall or spring,apple
36.0,140.0,198.0,23.34386401,91.47684705,6.28188384,72,104.426799100000000,fall or spring,apple
37.0,137.0,199.0,22.63946441,90.18451645,5.697945522000000,72,108.340587900000000,fall or spring,apple
33.0,121.0,203.0,22.45696744,94.76285385,5.6059341,72,114.840772500000000,fall or spring,apple
7.0,144.0,195.0,22.96388477,93.58065995,5.85648105,72,104.647299,fall or spring,apple
35.0,128.0,205.0,21.07273439,93.56585985,6.041053829000000,72,107.873701500000000,fall or spring,apple
29.0,128.0,198.0,22.44075021,92.70785115,5.685062404000000,72,121.497733100000000,fall or spring,apple
2.0,143.0,196.0,22.71271308,90.45261746,5.669489065000000,72,109.885259700000000,fall or spring,apple
34.0,140.0,198.0,21.70416965,93.44006288,5.751707342000000,72,115.178139600000000,fall or spring,apple
29.0,144.0,204.0,22.43324518,92.48667725,5.800448951000000,72,119.102518900000000,fall or spring,apple
